stream_id,streamer_id,started_at,ended_at,stream_duration_hrs,category,peak_viewers,title_has_hype_word,was_raid
SM00052,STR0003,2024-01-05 10:00:00,2024-01-05 12:00:00,2.0,Just Chatting,33928.0,False,False
SM00053,STR0004,2024-03-02 20:00:00,2024-03-02 23:00:00,3.0,Just Chatting,71777.0,True,False
SM00054,STR0004,2024-03-07 21:00:00,2024-03-08 03:00:00,6.0,Just Chatting,23182.0,True,False
SM00055,STR0004,2024-01-17 21:00:00,2024-01-17 23:30:00,2.5,Just Chatting,78807.0,False,False
SM00056,STR0004,2024-03-26 14:00:00,2024-03-26 15:30:00,1.5,Just Chatting,57978.0,False,False
SM00057,STR0004,2024-02-17 21:00:00,2024-02-18 02:00:00,5.0,Just Chatting,24076.0,False,False
SM00058,STR0004,2024-02-06 21:00:00,2024-02-06 23:00:00,2.0,Just Chatting,107512.0,False,False
SM00059,STR0004,2024-03-22 11:00:00,2024-03-22 16:00:00,5.0,Just Chatting,-41.0,True,False
SM00060,STR0004,2024-02-26 17:00:00,2024-02-26 22:00:00,5.0,Just Chatting,32781.0,False,False
SM00061,STR0004,2024-02-18 12:00:00,2024-02-18 18:00:00,6.0,Just Chatting,67379.0,False,False
SM00062,STR0004,2024-03-11 13:00:00,2024-03-11 17:00:00,4.0,Just Chatting,46685.0,False,False
SM00063,STR0004,2024-01-13 14:00:00,2024-01-13 17:00:00,3.0,Just Chatting,43112.0,True,False
SM00064,STR0004,2024-01-31 13:00:00,2024-01-31 16:00:00,3.0,Just Chatting,53118.0,True,False
SM00065,STR0004,2024-02-04 10:00:00,2024-02-04 12:30:00,2.5,Just Chatting,118609.0,False,False
SM00066,STR0004,2024-03-01 21:00:00,2024-03-02 00:00:00,3.0,Just Chatting,53209.0,False,True
SM00067,STR0004,2024-02-18 22:00:00,2024-02-19 02:00:00,4.0,Just Chatting,103382.0,False,False
SM00068,STR0004,2024-02-19 15:00:00,2024-02-19 19:00:00,4.0,,48971.0,True,False
SM00069,STR0004,2024-03-07 08:00:00,2024-03-07 12:00:00,4.0,Just Chatting,109319.0,True,False
SM00070,STR0005,2024-01-12 22:00:00,2024-01-13 00:00:00,2.0,Just Chatting,32208.0,False,True
SM00071,STR0005,2024-02-22 09:00:00,2024-02-22 16:00:00,7.0,Just Chatting,11205.0,False,False
SM00072,STR0005,2024-03-27 10:00:00,2024-03-27 14:00:00,4.0,Just Chatting,34239.0,True,False
SM00073,STR0005,2024-03-30 19:00:00,2024-03-31 02:00:00,7.0,Just Chatting,15345.0,False,False
SM00074,STR0005,2024-02-23 08:00:00,2024-02-23 12:00:00,4.0,Just Chatting,12415.0,False,False
SM00075,STR0005,2024-01-12 16:00:00,2024-01-12 20:00:00,4.0,Just Chatting,22935.0,True,False
SM00076,STR0005,2024-02-17 18:00:00,2024-02-17 23:00:00,5.0,Just Chatting,23869.0,False,False
SM00077,STR0005,2024-01-22 16:00:00,2024-01-22 23:00:00,7.0,Just Chatting,10574.0,False,False
SM00078,STR0005,2024-01-11 18:00:00,2024-01-11 22:00:00,4.0,Just Chatting,21244.0,True,False
SM00079,STR0005,2024-03-23 19:00:00,2024-03-23 23:00:00,4.0,,18210.0,False,False
SM00080,STR0005,2024-03-21 20:00:00,2024-03-21 22:30:00,2.5,Just Chatting,19301.0,True,False
SM00081,STR0005,2024-02-17 12:00:00,2024-02-17 14:30:00,2.5,Just Chatting,11575.0,True,False
SM00082,STR0005,2024-03-25 16:00:00,2024-03-25 19:00:00,3.0,Just Chatting,32349.0,True,False
SM00083,STR0005,2024-01-16 16:00:00,2024-01-16 23:00:00,7.0,,34156.0,False,True
SM00084,STR0005,2024-02-13 10:00:00,2024-02-13 18:00:00,8.0,Just Chatting,31924.0,True,False
SM00085,STR0005,2024-03-17 22:00:00,2024-03-18 00:00:00,2.0,Just Chatting,36664.0,True,True
SM00086,STR0005,2024-02-27 09:00:00,2024-02-27 13:00:00,4.0,Just Chatting,30793.0,False,False
SM00087,STR0005,2024-02-19 08:00:00,2024-02-19 11:00:00,3.0,Just Chatting,,False,False
SM00088,STR0005,2024-01-27 22:00:00,2024-01-28 01:00:00,3.0,Just Chatting,17078.0,False,False
SM00089,STR0005,2024-02-16 21:00:00,2024-02-17 02:00:00,5.0,Just Chatting,10248.0,True,False
SM00090,STR0005,2024-03-30 08:00:00,2024-03-30 10:30:00,2.5,Just Chatting,36177.0,False,False
SM00091,STR0006,2024-01-10 17:00:00,2024-01-10 21:00:00,4.0,Just Chatting,13349.0,False,False
SM00092,STR0006,2024-02-26 09:00:00,2024-02-26 15:00:00,6.0,Just Chatting,3318.0,False,True
SM00093,STR0006,2024-01-22 14:00:00,2024-01-22 19:00:00,5.0,Just Chatting,6050.0,False,False
SM00094,STR0006,2024-01-02 21:00:00,2024-01-03 01:00:00,4.0,Just Chatting,3434.0,False,False
SM00095,STR0006,2024-01-01 10:00:00,2024-01-01 14:00:00,4.0,Just Chatting,15793.0,True,False
SM00096,STR0006,2024-03-27 11:00:00,2024-03-27 16:00:00,5.0,Just Chatting,3774.0,False,False
SM00097,STR0006,2024-03-13 22:00:00,2024-03-14 03:00:00,5.0,Just Chatting,14124.0,True,False
SM00098,STR0006,2024-03-14 20:00:00,2024-03-14 21:30:00,1.5,Just Chatting,6108.0,False,False
SM00099,STR0006,2024-01-12 18:00:00,2024-01-12 23:00:00,5.0,Just Chatting,13024.0,False,True
SM00100,STR0006,2024-01-08 20:00:00,2024-01-08 22:30:00,2.5,,14714.0,False,False
SM00101,STR0006,2024-01-18 08:00:00,2024-01-18 13:00:00,5.0,Just Chatting,18680.0,False,False
SM00102,STR0006,2024-03-08 17:00:00,2024-03-08 19:00:00,2.0,Just Chatting,12803.0,False,False
SM00103,STR0007,2024-01-20 21:00:00,2024-01-21 02:00:00,5.0,Just Chatting,268.0,False,False
SM00104,STR0007,2024-01-09 19:00:00,2024-01-10 03:00:00,8.0,Just Chatting,487.0,False,True
SM00105,STR0007,2024-02-18 19:00:00,2024-02-18 23:00:00,4.0,Just Chatting,574.0,False,False
SM00106,STR0007,2024-01-14 11:00:00,2024-01-14 14:00:00,3.0,Just Chatting,,True,False
SM00107,STR0007,2024-02-18 18:00:00,2024-02-18 22:00:00,4.0,Just Chatting,857.0,False,False
SM00108,STR0007,2024-01-14 14:00:00,2024-01-14 17:00:00,3.0,Just Chatting,499.0,False,False
SM00109,STR0007,2024-01-12 09:00:00,2024-01-12 11:00:00,2.0,Just Chatting,348.0,False,False
SM00110,STR0007,2024-01-28 17:00:00,2024-01-28 21:00:00,4.0,Just Chatting,622.0,True,False
SM00111,STR0007,2024-03-28 14:00:00,2024-03-28 17:00:00,3.0,Just Chatting,302.0,False,False
SM00112,STR0007,2024-02-22 17:00:00,2024-02-22 18:30:00,1.5,Just Chatting,456.0,False,False
SM00113,STR0007,2024-02-12 15:00:00,2024-02-12 17:30:00,2.5,Just Chatting,574.0,True,False
SM00114,STR0007,2024-02-20 16:00:00,2024-02-20 20:00:00,4.0,Just Chatting,635.0,False,False
SM00115,STR0008,2024-01-29 11:00:00,2024-01-29 15:00:00,4.0,Just Chatting,485.0,True,False
SM00116,STR0008,2024-02-17 17:00:00,2024-02-17 20:00:00,3.0,Just Chatting,550.0,True,False
SM00117,STR0008,2024-03-07 16:00:00,2024-03-07 22:00:00,6.0,Just Chatting,542.0,False,False
SM00118,STR0008,2024-03-07 15:00:00,2024-03-07 20:00:00,5.0,Just Chatting,391.0,True,True
SM00119,STR0008,2024-03-16 13:00:00,2024-03-16 15:00:00,2.0,,198.0,False,False
SM00120,STR0008,2024-03-19 20:00:00,2024-03-19 22:00:00,2.0,Just Chatting,364.0,False,False
SM00121,STR0008,2024-01-31 15:00:00,2024-01-31 18:00:00,3.0,Just Chatting,733.0,False,False
SM00122,STR0008,2024-03-22 08:00:00,2024-03-22 13:00:00,5.0,Just Chatting,824.0,False,False
SM00123,STR0008,2024-02-03 18:00:00,2024-02-03 22:00:00,4.0,Just Chatting,236.0,True,False
SM00124,STR0008,2024-02-15 13:00:00,2024-02-15 20:00:00,7.0,Just Chatting,935.0,True,False
SM00125,STR0008,2024-03-10 14:00:00,2024-03-10 18:00:00,4.0,Just Chatting,-43.0,False,False
SM00126,STR0008,2024-03-08 13:00:00,2024-03-08 17:00:00,4.0,Just Chatting,218.0,False,False
SM00127,STR0008,2024-01-19 19:00:00,2024-01-19 21:30:00,2.5,Just Chatting,,True,False
SM00128,STR0008,2024-02-07 20:00:00,2024-02-08 04:00:00,8.0,Just Chatting,584.0,False,False
SM00129,STR0008,2024-03-16 20:00:00,2024-03-16 22:00:00,2.0,Just Chatting,,True,False
SM00130,STR0008,2024-03-16 13:00:00,2024-03-16 15:00:00,2.0,Just Chatting,743.0,True,False
SM00131,STR0008,2024-02-09 15:00:00,2024-02-09 17:30:00,2.5,Just Chatting,285.0,False,False
SM00132,STR0008,2024-01-22 21:00:00,2024-01-22 22:30:00,1.5,Just Chatting,,False,False
SM00133,STR0009,2024-01-18 15:00:00,2024-01-18 19:00:00,4.0,Just Chatting,165095.0,False,False
SM00134,STR0009,2024-01-08 12:00:00,2024-01-08 17:00:00,5.0,Just Chatting,200665.0,False,False
SM00135,STR0009,2024-02-20 17:00:00,2024-02-20 21:00:00,4.0,Just Chatting,231555.0,False,True
SM00136,STR0009,2024-01-06 18:00:00,2024-01-06 22:00:00,4.0,Just Chatting,126929.0,False,False
SM00137,STR0009,2024-03-24 20:00:00,2024-03-24 23:00:00,3.0,Just Chatting,232966.0,False,False
SM00138,STR0009,2024-03-17 13:00:00,2024-03-17 19:00:00,6.0,Just Chatting,188226.0,True,True
SM00139,STR0009,2024-01-11 20:00:00,2024-01-11 23:00:00,3.0,Just Chatting,166458.0,True,False
SM00140,STR0009,2024-02-17 15:00:00,2024-02-17 18:00:00,3.0,Just Chatting,269623.0,True,False
SM00141,STR0009,2024-02-26 17:00:00,2024-02-26 19:30:00,2.5,Just Chatting,127027.0,False,False
SM00142,STR0009,2024-01-18 11:00:00,2024-01-18 17:00:00,6.0,Just Chatting,153983.0,False,False
SM00143,STR0009,2024-02-07 12:00:00,2024-02-07 16:00:00,4.0,Just Chatting,45303.0,False,False
SM00144,STR0009,2024-01-26 10:00:00,2024-01-26 14:00:00,4.0,Just Chatting,285515.0,False,True
SM00145,STR0009,2024-03-13 17:00:00,2024-03-13 20:00:00,3.0,Just Chatting,231193.0,False,False
SM00146,STR0009,2024-03-22 15:00:00,2024-03-22 22:00:00,7.0,Just Chatting,-24.0,True,False
SM00147,STR0010,2024-03-19 09:00:00,2024-03-19 14:00:00,5.0,Just Chatting,101670.0,False,False
SM00148,STR0010,2024-02-28 16:00:00,2024-02-28 20:00:00,4.0,,189022.0,False,False
SM00149,STR0010,2024-03-29 10:00:00,2024-03-29 15:00:00,5.0,Just Chatting,152772.0,False,True
SM00150,STR0010,2024-02-27 13:00:00,2024-02-27 15:00:00,2.0,Just Chatting,35852.0,True,False
SM00151,STR0010,2024-03-10 22:00:00,2024-03-11 06:00:00,8.0,,105774.0,False,False
SM00152,STR0010,2024-01-30 22:00:00,2024-01-31 01:00:00,3.0,Just Chatting,159978.0,False,False
SM00153,STR0010,2024-01-08 11:00:00,2024-01-08 16:00:00,5.0,Just Chatting,181583.0,True,True
SM00154,STR0010,2024-02-10 20:00:00,2024-02-10 21:30:00,1.5,Just Chatting,90558.0,False,False
SM00155,STR0010,2024-01-05 13:00:00,2024-01-05 17:00:00,4.0,Just Chatting,146716.0,False,False
SM00156,STR0010,2024-02-29 19:00:00,2024-03-01 01:00:00,6.0,Just Chatting,151032.0,False,False
SM00157,STR0010,2024-03-13 13:00:00,2024-03-13 15:30:00,2.5,Just Chatting,131650.0,True,True
SM00158,STR0010,2024-01-22 20:00:00,2024-01-22 21:30:00,1.5,Just Chatting,113962.0,False,False
SM00159,STR0010,2024-03-01 15:00:00,2024-03-01 18:00:00,3.0,Just Chatting,176790.0,False,False
SM00160,STR0010,2024-02-24 18:00:00,2024-02-24 20:30:00,2.5,Just Chatting,169723.0,True,False
SM00161,STR0010,2024-02-01 19:00:00,2024-02-01 21:30:00,2.5,Just Chatting,126443.0,False,False
SM00162,STR0010,2024-02-10 13:00:00,2024-02-10 15:30:00,2.5,Just Chatting,175293.0,False,False
SM00163,STR0011,2024-03-02 09:00:00,2024-03-02 12:00:00,3.0,Just Chatting,124638.0,True,False
SM00164,STR0011,2024-03-13 16:00:00,2024-03-13 18:30:00,2.5,Just Chatting,81467.0,False,False
SM00165,STR0011,2024-02-18 10:00:00,2024-02-18 14:00:00,4.0,Just Chatting,163662.0,False,False
SM00166,STR0011,2024-03-04 19:00:00,2024-03-04 22:00:00,3.0,Just Chatting,,False,False
SM00167,STR0011,2024-01-20 15:00:00,2024-01-20 17:00:00,2.0,Just Chatting,75533.0,False,True
SM00168,STR0011,2024-01-07 13:00:00,2024-01-07 14:30:00,1.5,Just Chatting,87787.0,False,False
SM00169,STR0011,2024-03-27 17:00:00,2024-03-27 20:00:00,3.0,Just Chatting,83201.0,True,False
SM00170,STR0011,2024-03-27 22:00:00,2024-03-28 02:00:00,4.0,Just Chatting,64264.0,False,False
SM00171,STR0011,2024-02-01 21:00:00,2024-02-01 23:30:00,2.5,Just Chatting,,False,False
SM00172,STR0011,2024-03-22 12:00:00,2024-03-22 17:00:00,5.0,Just Chatting,106949.0,True,False
SM00173,STR0011,2024-02-25 17:00:00,2024-02-25 19:30:00,2.5,Just Chatting,58247.0,False,False
SM00174,STR0011,2024-01-30 10:00:00,2024-01-30 16:00:00,6.0,Just Chatting,64084.0,False,False
SM00175,STR0011,2024-01-06 16:00:00,2024-01-06 21:00:00,5.0,Just Chatting,-23.0,False,False
SM00176,STR0012,2024-03-18 15:00:00,2024-03-18 23:00:00,8.0,Just Chatting,20255.0,False,False
SM00177,STR0012,2024-03-14 18:00:00,2024-03-14 23:00:00,5.0,Just Chatting,8607.0,False,True
SM00178,STR0012,2024-01-16 16:00:00,2024-01-16 18:00:00,2.0,Just Chatting,19739.0,False,False
SM00179,STR0012,2024-03-26 19:00:00,2024-03-26 22:00:00,3.0,Just Chatting,5053.0,False,False
SM00180,STR0012,2024-03-25 22:00:00,2024-03-26 00:00:00,2.0,Just Chatting,5177.0,True,False
SM00181,STR0012,2024-01-23 16:00:00,2024-01-23 19:00:00,3.0,Just Chatting,16482.0,False,False
SM00182,STR0012,2024-03-12 12:00:00,2024-03-12 14:00:00,2.0,Just Chatting,6856.0,False,False
SM00183,STR0012,2024-02-04 19:00:00,2024-02-04 23:00:00,4.0,Just Chatting,-36.0,False,False
SM00184,STR0012,2024-03-28 12:00:00,2024-03-28 15:00:00,3.0,Just Chatting,14115.0,True,False
SM00185,STR0012,2024-01-01 12:00:00,2024-01-01 18:00:00,6.0,Just Chatting,4229.0,True,False
SM00186,STR0012,2024-01-10 15:00:00,2024-01-10 18:00:00,3.0,Just Chatting,12127.0,False,False
SM00187,STR0012,2024-02-08 16:00:00,2024-02-08 21:00:00,5.0,Just Chatting,10396.0,False,False
SM00188,STR0012,2024-01-21 12:00:00,2024-01-21 14:30:00,2.5,Just Chatting,15620.0,False,True
SM00189,STR0012,2024-03-02 13:00:00,2024-03-02 16:00:00,3.0,Just Chatting,,False,False
SM00190,STR0012,2024-02-13 08:00:00,2024-02-13 11:00:00,3.0,Just Chatting,21135.0,False,False
SM00191,STR0012,2024-01-14 17:00:00,2024-01-14 19:00:00,2.0,Just Chatting,26067.0,False,False
SM00192,STR0013,2024-01-01 21:00:00,2024-01-01 22:30:00,1.5,Just Chatting,97.0,False,False
SM00193,STR0013,2024-03-04 17:00:00,2024-03-04 19:30:00,2.5,Just Chatting,112.0,False,False
SM00194,STR0013,2024-02-23 18:00:00,2024-02-23 19:30:00,1.5,Just Chatting,262.0,True,False
SM00195,STR0013,2024-02-17 17:00:00,2024-02-17 19:30:00,2.5,Just Chatting,298.0,False,False
SM00196,STR0013,2024-03-17 12:00:00,2024-03-17 18:00:00,6.0,Just Chatting,113.0,False,False
SM00197,STR0013,2024-03-28 17:00:00,2024-03-29 01:00:00,8.0,Just Chatting,233.0,False,False
SM00198,STR0013,2024-03-14 10:00:00,2024-03-14 15:00:00,5.0,Just Chatting,-50.0,True,False
SM00199,STR0013,2024-01-27 11:00:00,2024-01-27 14:00:00,3.0,Just Chatting,,False,False
SM00200,STR0013,2024-01-08 20:00:00,2024-01-08 23:00:00,3.0,Just Chatting,57.0,False,False
SM00201,STR0013,2024-03-04 10:00:00,2024-03-04 15:00:00,5.0,Just Chatting,133.0,False,False
SM00202,STR0013,2024-03-07 20:00:00,2024-03-08 02:00:00,6.0,Just Chatting,129.0,False,False
SM00203,STR0013,2024-01-22 09:00:00,2024-01-22 11:00:00,2.0,Just Chatting,131.0,False,False
SM00204,STR0014,2024-03-12 15:00:00,2024-03-12 23:00:00,8.0,Just Chatting,11352.0,True,False
SM00205,STR0014,2024-01-02 16:00:00,2024-01-02 20:00:00,4.0,Just Chatting,19082.0,False,False
SM00206,STR0014,2024-02-21 21:00:00,2024-02-22 03:00:00,6.0,Just Chatting,44827.0,False,False
SM00207,STR0014,2024-02-25 10:00:00,2024-02-25 12:00:00,2.0,Just Chatting,48498.0,False,False
SM00208,STR0014,2024-01-12 12:00:00,2024-01-12 16:00:00,4.0,Just Chatting,63699.0,True,True
SM00209,STR0014,2024-01-02 08:00:00,2024-01-02 10:30:00,2.5,Just Chatting,66067.0,True,False
SM00210,STR0014,2024-03-16 11:00:00,2024-03-16 15:00:00,4.0,Just Chatting,45917.0,False,True
SM00211,STR0014,2024-02-05 19:00:00,2024-02-06 00:00:00,5.0,Just Chatting,,False,False
SM00212,STR0014,2024-01-25 19:00:00,2024-01-26 03:00:00,8.0,Just Chatting,37472.0,True,False
SM00213,STR0014,2024-02-16 22:00:00,2024-02-17 03:00:00,5.0,Just Chatting,43822.0,False,False
SM00214,STR0014,2024-02-08 14:00:00,2024-02-08 16:00:00,2.0,Just Chatting,67059.0,False,True
SM00215,STR0014,2024-02-05 10:00:00,2024-02-05 12:00:00,2.0,Just Chatting,71581.0,False,False
SM00216,STR0014,2024-01-24 10:00:00,2024-01-24 12:30:00,2.5,Just Chatting,65130.0,True,False
SM00217,STR0015,2024-01-22 11:00:00,2024-01-22 14:00:00,3.0,Just Chatting,37126.0,True,False
SM00218,STR0015,2024-03-20 17:00:00,2024-03-20 21:00:00,4.0,Just Chatting,37462.0,False,True
SM00219,STR0015,2024-02-28 18:00:00,2024-02-28 23:00:00,5.0,Just Chatting,30453.0,True,False
SM00220,STR0015,2024-01-10 19:00:00,2024-01-11 01:00:00,6.0,Just Chatting,39762.0,False,False
SM00221,STR0015,2024-02-15 09:00:00,2024-02-15 11:30:00,2.5,Just Chatting,37538.0,False,False
SM00222,STR0015,2024-01-03 11:00:00,2024-01-03 14:00:00,3.0,Just Chatting,36547.0,False,False
SM00223,STR0015,2024-03-24 21:00:00,2024-03-25 00:00:00,3.0,Just Chatting,20220.0,False,False
SM00224,STR0015,2024-02-24 16:00:00,2024-02-24 19:00:00,3.0,Just Chatting,31752.0,False,False
SM00225,STR0015,2024-02-21 22:00:00,2024-02-22 01:00:00,3.0,Just Chatting,15227.0,False,False
SM00226,STR0015,2024-02-03 13:00:00,2024-02-03 15:00:00,2.0,Just Chatting,13845.0,False,False
SM00227,STR0015,2024-01-28 18:00:00,2024-01-28 21:00:00,3.0,Just Chatting,46159.0,False,False
SM00228,STR0015,2024-01-22 10:00:00,2024-01-22 15:00:00,5.0,Just Chatting,-5.0,True,False
SM00229,STR0015,2024-01-31 12:00:00,2024-01-31 14:30:00,2.5,Just Chatting,14779.0,False,False
SM00230,STR0015,2024-02-16 08:00:00,2024-02-16 10:30:00,2.5,Just Chatting,9043.0,False,False
SM00231,STR0015,2024-01-01 15:00:00,2024-01-01 22:00:00,7.0,Just Chatting,33822.0,True,False
SM00232,STR0015,2024-02-14 21:00:00,2024-02-14 23:30:00,2.5,Just Chatting,19226.0,True,False
SM00233,STR0015,2024-01-29 19:00:00,2024-01-30 01:00:00,6.0,Just Chatting,43986.0,False,True
SM00234,STR0015,2024-03-29 17:00:00,2024-03-30 00:00:00,7.0,Just Chatting,10130.0,True,False
SM00235,STR0015,2024-02-06 10:00:00,2024-02-06 13:00:00,3.0,Just Chatting,29758.0,False,True
SM00236,STR0015,2024-01-09 20:00:00,2024-01-10 00:00:00,4.0,Just Chatting,29328.0,False,False
SM00237,STR0015,2024-02-16 10:00:00,2024-02-16 12:30:00,2.5,Just Chatting,13740.0,False,False
SM00238,STR0016,2024-02-03 16:00:00,2024-02-03 21:00:00,5.0,Just Chatting,22491.0,False,False
SM00239,STR0016,2024-02-03 20:00:00,2024-02-04 01:00:00,5.0,Just Chatting,,False,False
SM00240,STR0016,2024-01-04 11:00:00,2024-01-04 18:00:00,7.0,Just Chatting,-3.0,False,False
SM00241,STR0016,2024-03-21 18:00:00,2024-03-21 20:30:00,2.5,Just Chatting,48692.0,False,True
SM00242,STR0016,2024-02-25 10:00:00,2024-02-25 13:00:00,3.0,Just Chatting,29813.0,False,False
SM00243,STR0016,2024-01-23 21:00:00,2024-01-24 03:00:00,6.0,Just Chatting,50029.0,False,False
SM00244,STR0016,2024-03-08 13:00:00,2024-03-08 17:00:00,4.0,Just Chatting,20224.0,False,False
SM00245,STR0016,2024-01-23 12:00:00,2024-01-23 19:00:00,7.0,Just Chatting,-50.0,False,False
SM00246,STR0016,2024-01-01 19:00:00,2024-01-01 23:00:00,4.0,Just Chatting,31752.0,True,False
SM00247,STR0016,2024-02-17 13:00:00,2024-02-17 16:00:00,3.0,Just Chatting,14671.0,False,True
SM00248,STR0016,2024-02-02 09:00:00,2024-02-02 16:00:00,7.0,Just Chatting,31344.0,False,False
SM00249,STR0016,2024-03-26 10:00:00,2024-03-26 14:00:00,4.0,Just Chatting,18287.0,False,False
SM00250,STR0016,2024-01-15 11:00:00,2024-01-15 12:30:00,1.5,Just Chatting,14062.0,False,True
SM00251,STR0016,2024-03-23 08:00:00,2024-03-23 12:00:00,4.0,Just Chatting,30534.0,False,True
