session_id,viewer_id,streamer_id,stream_id,started_at,ended_at,duration_mins,chat_messages_sent,bits_cheered,followed_during,subscribed_during
SES000162,VWR00864,STR0057,SM00898,2024-02-20 11:01:00,2024-02-20 11:36:00,35,0,0,False,False
SES000163,VWR00867,STR0036,SM00581,2024-03-09 19:42:00,2024-03-09 20:58:00,76,0,0,False,False
SES000164,VWR00989,STR0035,SM00555,2024-03-27 17:50:00,2024-03-27 17:53:00,3,0,0,False,False
SES000165,VWR00839,STR0066,SM01045,2024-01-08 23:50:00,2024-01-09 01:29:00,99,2,0,False,False
SES000166,VWR00692,STR0054,SM00846,2024-01-02 22:56:00,2024-01-02 23:44:00,48,2,0,False,False
SES000167,VWR00891,STR0065,SM01014,2024-02-04 11:54:00,2024-02-04 11:56:00,2,0,0,False,False
SES000168,VWR00896,STR0076,SM01198,2024-01-02 21:33:00,2024-01-02 22:24:00,51,2,0,False,False
SES000169,VWR00615,STR0066,SM01040,2024-01-15 00:38:00,2024-01-15 00:43:00,5,0,0,False,False
SES000170,VWR00916,STR0050,SM00791,2024-01-15 12:49:00,2024-01-15 13:04:00,15,2,0,False,False
SES000171,VWR00893,STR0071,SM01124,2024-01-27 13:44:00,2024-01-27 14:39:00,55,4,0,False,False
SES000172,VWR00870,STR0013,SM00195,2024-02-17 17:35:00,2024-02-17 18:31:00,56,7,0,False,False
SES000173,VWR00899,STR0072,SM01148,2024-01-01 16:06:00,2024-01-01 16:19:00,13,1,0,False,False
SES000174,VWR00758,STR0047,SM00733,2024-01-11 16:16:00,2024-01-11 19:52:00,216,0,7066,True,False
SES000175,VWR00922,STR0045,SM00710,2024-01-27 19:53:00,2024-01-27 19:55:00,2,0,0,False,False
SES000176,VWR00920,STR0005,SM00081,2024-02-17 12:30:00,2024-02-17 13:52:00,82,6,8110,False,False
SES000177,VWR00744,STR0044,SM00699,2024-03-03 22:51:00,2024-03-03 23:32:00,41,5,0,False,False
SES000178,VWR00622,STR0006,SM00098,2024-03-14 20:51:00,2024-03-14 21:14:00,23,0,0,False,False
SES000179,VWR00647,STR0017,SM00262,2024-02-12 19:03:00,2024-02-12 19:34:00,31,6,0,False,False
SES000180,VWR00584,STR0014,SM00207,2024-02-25 10:49:00,2024-02-25 11:20:00,31,0,0,False,False
SES000181,VWR00814,STR0015,SM00230,2024-02-16 08:54:00,2024-02-16 09:56:00,62,11,0,False,False
SES000182,VWR00880,STR0047,SM00731,2024-02-05 17:58:00,2024-02-05 18:36:00,38,2,0,False,False
SES000183,VWR00907,STR0015,SM00225,2024-02-22 00:24:00,2024-02-22 00:28:00,4,0,0,False,False
SES000184,VWR00760,STR0039,SM00619,2024-02-23 22:27:00,2024-02-23 22:29:00,2,0,0,False,False
SES000185,VWR00987,STR0025,SM00400,2024-03-01 00:34:00,2024-03-01 00:55:00,21,7,0,False,False
SES000186,VWR00480,STR0047,SM00736,2024-01-22 20:45:00,2024-01-22 20:49:00,4,1,0,False,False
SES000187,VWR00609,STR0076,SM01193,2024-02-12 13:14:00,2024-02-12 16:47:00,213,3,0,True,False
SES000188,VWR00538,STR0030,SM00486,2024-01-30 18:46:00,2024-01-30 21:49:00,183,36,0,False,False
SES000189,VWR00906,STR0035,SM00554,2024-03-24 22:01:00,2024-03-24 23:17:00,76,3,0,False,False
SES000190,VWR00709,STR0025,SM00395,2024-03-07 16:40:00,2024-03-07 16:43:00,3,0,0,False,False
SES000191,VWR00763,STR0070,SM01112,2024-02-08 16:36:00,2024-02-08 17:23:00,47,0,0,False,False
SES000192,VWR00559,STR0070,SM01112,2024-02-08 16:04:00,2024-02-08 16:48:00,44,0,0,False,False
SES000193,VWR00873,STR0005,SM00071,2024-02-22 13:05:00,2024-02-22 14:11:00,66,16,0,False,False
SES000194,VWR00910,STR0009,SM00136,2024-01-06 21:42:00,2024-01-06 21:58:00,16,0,0,False,False
SES000195,VWR00898,STR0070,SM01103,2024-02-22 12:44:00,2024-02-22 12:54:00,10,0,0,False,False
SES000196,VWR00907,STR0011,SM00173,2024-02-25 18:46:00,2024-02-25 19:29:00,43,4,0,False,False
SES000197,VWR00729,STR0065,SM01014,2024-02-04 11:28:00,2024-02-04 11:44:00,16,0,0,False,False
SES000198,VWR00770,STR0041,SM00654,2024-01-24 14:25:00,2024-01-24 14:30:00,5,0,0,False,False
SES000199,VWR00614,STR0070,SM01110,2024-03-12 10:49:00,2024-03-12 10:53:00,4,0,9865,False,False
SES000200,VWR00965,STR0044,SM00699,2024-03-04 00:22:00,2024-03-04 00:29:00,7,2,9503,False,False
SES000201,VWR00716,STR0043,SM00689,2024-02-01 10:56:00,2024-02-01 11:02:00,6,1,0,False,False
SES000202,VWR00973,STR0017,SM00258,2024-03-30 12:16:00,2024-03-30 13:17:00,61,22,0,True,False
SES000203,VWR00930,STR0065,SM01022,2024-01-27 16:01:00,2024-01-27 16:36:00,35,3,0,True,False
SES000204,VWR00667,STR0004,SM00062,2024-03-11 16:41:00,2024-03-11 16:53:00,12,0,0,False,False
SES000205,VWR00930,STR0072,SM01144,2024-03-13 15:56:00,2024-03-13 18:31:00,155,0,0,False,False
SES000206,VWR00328,STR0072,SM01148,2024-01-01 15:31:00,2024-01-01 15:35:00,4,0,0,False,False
SES000207,VWR00985,STR0064,SM01006,2024-02-28 13:15:00,2024-02-28 13:21:00,6,0,0,False,False
SES000208,VWR00967,STR0005,SM00075,2024-01-12 17:01:00,2024-01-12 18:18:00,77,2,0,False,False
SES000209,VWR00392,STR0039,SM00628,2024-02-09 10:04:00,2024-02-09 12:42:00,158,2,0,False,False
SES000210,VWR00761,STR0058,SM00900,2024-02-14 11:31:00,2024-02-14 14:22:00,171,2,0,False,False
SES000211,VWR00929,STR0069,SM01099,2024-01-17 15:29:00,2024-01-17 15:33:00,4,0,0,False,False
SES000212,VWR00978,STR0075,SM01188,2024-02-25 19:23:00,2024-02-25 22:44:00,201,0,9430,False,False
SES000213,VWR00920,STR0015,SM00229,2024-01-31 12:41:00,2024-01-31 13:37:00,56,2,0,False,False
SES000214,VWR00601,STR0004,SM00056,2024-03-26 15:16:00,2024-03-26 15:29:00,13,0,0,False,False
SES000215,VWR00982,STR0040,SM00638,2024-01-30 10:24:00,2024-01-30 10:52:00,28,1,0,False,False
SES000216,VWR00471,STR0070,SM01105,2024-03-30 22:20:00,2024-03-30 23:51:00,91,0,0,False,False
SES000217,VWR00749,STR0035,SM00555,2024-03-27 17:00:00,2024-03-27 17:32:00,32,2,0,False,False
SES000218,VWR00541,STR0004,SM00064,2024-01-31 13:16:00,2024-01-31 13:40:00,24,1,0,False,False
SES000219,VWR00857,STR0066,SM01042,2024-01-21 14:04:00,2024-01-21 14:51:00,47,0,0,False,False
SES000220,VWR00990,STR0021,SM00334,2024-01-16 21:50:00,2024-01-16 22:37:00,47,2,0,False,False
SES000221,VWR00828,STR0066,SM01029,2024-02-16 20:39:00,2024-02-16 20:58:00,19,0,0,False,False
SES000222,VWR00793,STR0051,SM00806,2024-03-20 23:04:00,2024-03-20 23:57:00,53,2,0,False,False
SES000223,VWR00595,STR0021,SM00329,2024-01-03 22:16:00,2024-01-03 22:24:00,8,0,4346,False,False
SES000224,VWR00666,STR0027,SM00432,2024-03-10 17:51:00,2024-03-10 19:12:00,81,12,0,False,False
SES000225,VWR00988,STR0012,SM00177,2024-03-14 22:19:00,2024-03-14 22:48:00,29,2,0,False,False
SES000226,VWR00899,STR0069,SM01085,2024-03-10 15:35:00,2024-03-10 15:39:00,4,0,0,False,False
SES000227,VWR00748,STR0063,SM00989,2024-01-05 23:41:00,2024-01-05 23:49:00,8,0,0,False,False
SES000228,VWR00594,STR0011,SM00170,2024-03-27 22:57:00,2024-03-28 00:29:00,92,8,0,False,False
SES000229,VWR00599,STR0050,SM00777,2024-02-10 17:17:00,2024-02-10 18:54:00,97,5,0,False,False
SES000230,VWR00947,STR0016,SM00241,2024-03-21 18:13:00,2024-03-21 19:52:00,99,21,0,False,False
SES000231,VWR00905,STR0025,SM00389,2024-01-12 18:13:00,2024-01-12 18:19:00,6,0,0,False,False
SES000232,VWR00936,STR0030,SM00485,2024-02-25 14:14:00,2024-02-25 17:47:00,213,3,0,False,False
SES000233,VWR00906,STR0076,SM01193,2024-02-12 18:53:00,2024-02-12 18:55:00,2,0,0,False,False
SES000234,VWR00935,STR0032,SM00512,2024-01-11 12:44:00,2024-01-11 13:01:00,17,2,0,False,False
SES000235,VWR00868,STR0009,SM00134,2024-01-08 14:16:00,2024-01-08 15:05:00,49,0,0,False,False
SES000236,VWR00870,STR0018,SM00269,2024-02-06 14:52:00,2024-02-06 15:41:00,49,9,0,False,False
SES000237,VWR00890,STR0004,SM00059,2024-03-22 13:29:00,2024-03-22 15:47:00,138,21,0,False,False
SES000238,VWR00921,STR0016,SM00247,2024-02-17 13:54:00,2024-02-17 15:53:00,119,14,0,False,False
SES000239,VWR00872,STR0012,SM00191,2024-01-14 18:07:00,2024-01-14 18:38:00,31,1,0,False,False
SES000240,VWR00935,STR0061,SM00956,2024-01-26 22:01:00,2024-01-26 22:54:00,53,8,0,False,False
SES000241,VWR00684,STR0036,SM00587,2024-01-04 17:16:00,2024-01-04 18:58:00,102,3,0,False,False
SES000242,VWR00951,STR0076,SM01196,2024-03-20 21:19:00,2024-03-20 21:22:00,3,0,0,False,False
SES000243,VWR00266,STR0003,SM00041,2024-01-02 01:41:00,2024-01-02 01:57:00,16,1,4482,True,False
